id,ad_name_lpid,cpc,cpm,ctr,sumclick,sumcost,sumimpression,date_fb
3153,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-01-25
3154,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-02-03
3155,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-03-02
3156,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-06-28
3157,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-07-01
3158,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-08-03
3159,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-09-03
3160,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-12-30
3161,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-01-01
3162,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-02-14
3163,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-03-01
3164,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-05-25
3165,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-06-02
3166,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-09-20
3167,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-10-02
3168,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-12-25
3169,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-01-02
3170,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-04-26
3171,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-05-02
3172,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-07-20
3173,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-08-01
3174,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-10-05
3175,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-11-22
3176,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2008-03-07
3177,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2008-07-04
3178,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2008-09-15
3179,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-01-27
3180,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-02-02
3181,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-04-19
3182,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-05-01
3183,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-09-03
3184,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-11-26
3185,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-12-02
3186,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2010-05-31
3187,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2010-06-04
3188,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2010-07-01
3189,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2011-06-16
3190,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2011-07-01
3191,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2012-07-01
3192,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2012-08-02
3662,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-01-25
3663,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-02-03
3664,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-03-02
3665,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-06-28
3666,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-07-01
3667,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-08-03
3668,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-09-03
3669,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2005-12-30
3670,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-01-01
3671,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-02-14
3672,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-03-01
3673,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-05-25
3674,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-06-02
3675,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-09-20
3676,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-10-02
3677,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2006-12-25
3678,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-01-02
3679,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-04-26
3680,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-05-02
3681,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-07-20
3682,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-08-01
3683,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-10-05
3684,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2007-11-22
3685,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2008-03-07
3686,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2008-07-04
3687,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2008-09-15
3688,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-01-27
3689,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-02-02
3690,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-04-19
3691,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-05-01
3692,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-09-03
3693,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-11-26
3694,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2009-12-02
3695,FBAPCwrt190320ZMIb1,0.0,0.0,0.0,0,0.0,0,2010-05-31
